u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5,u6,v6,u7,v7
66.0,35.0,18.0,35.0,19.5,57.5,43.5,58.0,66.0,58.0,20.5,80.0,64.5,80.5,44.0,36.0
66.0,36.0,18.0,35.0,19.0,58.0,43.0,58.0,65.5,58.5,20.0,81.0,64.0,81.0,43.0,36.0
65.5,36.5,18.0,36.0,19.0,59.0,43.0,59.0,66.0,59.0,20.0,81.0,64.0,81.0,43.0,38.0
65.0,37.0,18.0,37.0,19.0,59.0,43.0,60.0,65.0,60.0,20.0,82.0,64.0,82.0,43.0,38.0
65.0,37.0,17.5,37.0,18.0,60.0,43.0,60.0,65.0,60.0,19.5,82.5,64.0,83.0,43.0,38.0
65.0,38.0,17.5,38.0,18.0,61.0,43.0,61.0,65.0,61.0,19.0,83.0,64.0,83.0,43.0,39.0
64.5,38.5,17.0,39.0,18.0,61.0,42.5,61.0,65.0,62.0,19.0,84.0,64.0,84.0,41.5,39.0
65.0,39.0,17.0,39.0,18.0,62.0,42.0,62.0,65.0,62.0,19.0,84.0,64.0,84.0,42.0,40.0
65.0,40.0,17.5,40.0,18.0,62.0,42.0,63.0,65.0,63.0,19.0,85.0,63.0,85.0,42.0,41.0
64.5,40.5,17.0,41.0,18.0,63.0,42.0,63.0,65.0,63.0,19.0,85.5,63.5,85.5,42.0,41.0
64.5,41.0,17.0,41.0,18.0,64.0,42.0,63.5,65.0,64.0,18.5,86.0,63.0,86.0,42.0,42.0
65.0,42.0,17.5,42.0,18.0,64.0,42.0,64.0,65.0,64.0,19.0,87.0,63.0,87.0,41.5,42.0
64.5,42.5,17.0,43.0,18.0,65.0,42.0,65.0,64.5,64.5,18.5,87.5,63.0,87.0,42.0,43.0
65.0,43.0,17.5,43.5,18.0,65.5,42.0,65.5,64.5,65.5,19.0,88.0,63.0,88.0,42.0,44.0
64.5,43.5,18.0,44.0,18.0,66.0,42.0,66.0,65.0,66.0,18.5,88.5,63.0,88.0,42.0,83.5
65.0,44.0,18.0,44.0,18.0,67.0,42.0,67.0,65.0,67.0,18.5,89.0,63.0,89.0,42.0,84.0
65.0,45.0,18.0,45.0,18.0,67.0,42.0,67.0,65.0,67.0,18.5,90.0,63.0,89.0,42.5,84.5
65.0,45.0,18.0,46.0,18.5,68.0,42.5,67.5,65.0,67.0,18.5,90.5,63.0,90.0,42.5,123.0
64.5,46.0,19.0,46.0,18.5,68.0,42.5,68.0,65.0,67.5,19.0,91.0,63.5,90.5,43.0,123.0
64.0,47.0,19.0,47.5,18.5,69.0,42.5,69.0,64.5,69.0,19.0,91.5,64.0,91.0,43.0,123.0
64.0,48.0,19.0,48.0,19.0,69.5,42.5,69.5,65.0,69.0,19.0,92.0,63.5,91.5,43.0,123.0
65.0,48.0,19.0,48.0,19.0,70.0,43.0,70.0,65.0,70.0,19.0,93.0,64.0,92.0,43.0,123.0
65.0,48.0,19.0,49.0,19.0,71.0,43.0,70.0,65.5,70.5,19.0,93.5,64.0,93.0,43.0,123.0
65.5,48.5,19.0,50.0,19.5,71.0,43.0,71.0,65.5,70.5,19.5,94.0,64.5,93.5,43.5,123.0
65.0,50.0,20.0,50.0,20.0,71.5,43.5,71.5,66.0,71.0,20.0,94.0,64.5,93.5,44.0,123.0
65.0,50.0,20.5,50.0,20.0,72.0,44.0,71.5,66.0,71.5,20.0,95.0,64.5,94.0,44.5,123.0
66.0,50.0,20.5,51.0,20.5,72.5,44.0,72.0,66.0,72.0,20.5,95.5,64.5,94.5,44.5,123.0
66.0,51.0,21.0,52.0,21.0,73.0,44.5,72.5,66.5,72.5,20.5,95.5,65.0,95.0,45.0,123.0
66.0,52.0,21.0,52.0,21.0,73.5,44.5,73.5,67.0,73.0,21.0,96.0,65.5,95.5,45.0,123.0
66.0,52.0,22.0,52.0,21.0,74.0,44.5,73.5,66.5,73.5,21.0,97.0,66.0,96.0,45.0,123.0
67.0,52.0,22.0,53.0,22.0,74.0,45.0,74.0,67.0,74.0,21.5,97.5,66.5,96.5,45.0,123.0
67.5,52.5,22.5,53.5,22.0,75.0,45.5,74.5,68.0,74.0,22.0,97.5,66.5,97.0,52.0,123.0
68.0,53.0,23.0,54.0,22.5,75.5,46.0,74.5,68.0,74.5,22.0,98.0,66.5,97.5,52.0,123.0
68.0,53.0,23.0,54.0,22.5,75.5,46.5,75.5,68.5,75.5,22.5,98.5,67.0,98.0,47.0,123.0
68.5,53.5,24.0,54.5,23.0,76.0,46.5,75.5,68.5,75.5,23.0,99.0,67.5,98.0,47.0,123.0
68.5,53.5,24.0,54.5,23.5,76.5,47.0,76.0,68.5,75.5,23.5,99.5,68.0,98.0,47.0,123.0
69.0,54.5,24.0,55.0,24.5,76.5,47.0,76.5,69.5,76.0,24.0,99.5,68.0,99.0,53.0,123.0
69.0,55.0,25.0,56.0,24.5,77.5,48.0,76.0,70.0,76.0,24.0,100.0,68.5,99.5,48.0,123.0
70.0,55.0,25.0,56.0,24.5,77.5,48.0,77.0,70.0,77.0,25.0,100.0,68.5,99.5,59.0,123.0
71.0,56.0,26.0,56.0,25.5,77.5,48.5,77.5,70.5,77.5,25.5,100.5,69.5,99.5,49.0,123.0
71.0,56.0,26.5,56.5,26.0,78.0,48.5,77.5,70.5,77.5,26.0,101.0,70.0,100.0,49.0,123.0
71.0,56.0,27.0,57.0,26.5,78.5,49.5,77.5,71.0,78.0,26.0,101.0,70.5,100.5,50.0,123.0
