u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
35.0,57.0,76.5,65.5,46.0,91.0,57.0,98.0,100.0,100.0,12.5,90.5
35.0,60.0,77.0,68.0,46.0,92.0,57.0,101.0,100.5,103.0,12.5,93.5
36.0,61.0,77.5,69.5,60.0,61.0,57.5,103.5,101.0,105.0,14.0,95.0
37.0,62.0,78.5,71.0,61.0,62.0,59.0,104.0,103.0,106.0,15.0,96.0
38.0,62.0,79.0,71.0,62.0,62.0,59.5,104.0,103.5,106.5,16.5,96.5
38.0,62.0,80.5,70.5,63.0,62.0,60.5,103.5,105.0,106.0,17.0,95.5
39.5,60.0,81.0,69.0,64.0,60.0,62.0,102.0,106.0,104.0,18.0,94.0
40.0,58.0,82.0,67.0,64.5,58.0,62.5,99.5,107.0,102.0,19.0,91.0
40.5,55.0,82.5,64.0,65.0,56.0,62.5,97.5,107.0,99.0,19.5,89.0
40.0,52.0,82.0,61.0,65.0,52.0,62.5,93.5,106.0,95.0,19.0,85.0
38.0,48.0,81.5,57.5,64.0,49.0,62.0,90.0,106.0,92.0,18.0,82.0
37.0,45.0,80.0,54.0,63.5,45.5,60.0,87.0,104.0,88.0,16.0,78.0
35.0,42.0,77.5,51.5,61.5,42.0,58.0,83.0,102.0,84.0,13.5,75.0
33.0,39.0,75.0,48.0,59.0,39.0,56.0,81.0,99.5,81.5,11.0,72.0
30.0,36.0,73.5,46.5,58.0,37.0,55.0,79.0,98.0,79.0,9.0,70.0
28.5,35.0,71.5,45.5,56.0,36.0,52.5,78.5,95.5,78.5,7.0,69.0
27.5,35.0,70.0,45.0,55.0,35.0,51.5,77.5,94.0,78.0,5.5,68.5
26.0,35.0,70.0,46.0,54.0,35.5,51.0,78.0,93.5,78.5,5.0,69.0
27.0,36.0,70.0,47.0,54.0,37.0,51.0,79.0,93.5,79.0,5.5,70.0
28.0,38.0,71.0,48.0,55.0,39.0,52.0,80.0,95.0,81.0,6.0,71.0
30.0,40.0,73.0,50.0,57.0,41.0,54.0,82.0,97.0,83.0,8.0,74.0
32.0,42.0,75.0,51.5,59.0,42.0,55.0,84.0,99.0,85.0,11.0,75.0
36.0,44.0,78.0,53.0,62.0,44.0,58.0,85.0,102.0,86.5,14.0,77.0
38.0,45.0,81.0,54.0,65.0,45.0,62.0,86.5,106.0,88.0,18.0,78.0
41.0,46.0,83.0,55.0,67.0,46.0,64.0,87.0,108.0,89.0,21.0,78.5
44.0,46.0,87.0,55.0,70.0,47.0,67.0,87.5,112.0,90.0,24.5,79.0
46.0,46.5,89.0,55.0,72.0,47.0,69.0,87.0,114.0,89.0,26.0,79.0
47.0,46.0,90.5,54.5,74.0,46.0,70.5,87.5,116.0,89.0,28.0,78.5
48.5,45.0,91.0,54.0,75.0,46.0,71.0,87.0,117.0,88.0,29.0,78.0
48.0,45.0,91.0,54.0,74.0,45.0,71.0,86.0,117.0,88.0,28.0,77.0
46.0,43.0,89.0,53.0,73.0,45.0,69.5,85.5,115.0,87.0,27.0,76.0
44.0,43.0,86.5,52.5,70.0,45.0,67.5,85.5,112.5,86.5,24.0,76.5
41.0,44.0,82.5,52.5,66.0,44.0,63.0,85.0,107.0,87.0,20.0,77.0
36.0,44.0,78.5,53.5,63.0,44.0,59.0,86.0,103.0,87.0,15.0,77.5
31.0,45.0,74.0,55.0,57.5,45.5,54.5,87.0,97.0,88.0,9.5,78.5
26.0,48.0,69.0,58.0,53.0,48.0,49.5,89.5,92.0,90.0,3.5,81.5
21.0,50.0,64.5,59.5,48.0,50.0,45.0,92.0,87.5,92.5,-1.642872364296455,84.74664060598232
17.0,54.0,61.0,63.0,44.0,53.0,40.5,95.0,83.5,95.5,-5.693036545853837,87.89720369257232
14.0,57.0,58.5,65.5,41.0,56.0,36.5,98.0,80.0,98.5,-8.650492544672144,90.95168925976999
12.0,60.0,56.5,68.5,38.5,58.5,34.5,101.5,78.0,101.0,-10.515240360751381,93.91009730757534
11.0,63.0,55.0,71.0,37.5,61.5,33.0,104.0,76.5,103.5,-11.287279994091545,96.77242783598837
11.0,66.0,54.5,73.5,37.0,64.0,33.0,107.0,76.5,107.0,-10.966611444692631,99.53868084500905
12.0,67.0,56.0,75.0,38.0,66.0,34.0,109.0,76.5,109.0,-9.939464481699686,101.85834047375148
14.0,68.5,57.0,76.0,39.0,66.0,35.0,110.0,78.0,110.0,-8.592068874257741,103.38089086132963
15.5,69.5,59.0,77.0,41.0,68.0,37.0,111.0,80.0,111.0,-6.924424622366802,104.10633200774359
18.0,69.0,61.5,77.5,43.0,68.0,40.0,111.0,82.0,111.0,-4.936531726026865,104.03466391299328
21.5,68.0,63.5,77.0,46.0,67.0,42.5,110.5,85.5,111.0,-2.628390185237931,103.16588657707877
24.5,66.0,66.5,74.5,49.0,65.0,46.0,108.0,89.0,109.0,0.0,101.5
27.0,64.0,69.0,72.5,52.0,63.0,48.5,105.5,92.0,106.5,3.0,99.0
30.0,61.0,72.0,69.5,55.0,61.0,51.5,102.5,94.5,103.5,6.5,95.5
32.5,57.5,74.5,66.5,57.0,57.5,54.5,99.5,97.5,100.5,9.5,91.5
34.0,54.0,76.5,63.5,59.0,54.0,56.5,95.5,100.0,97.0,12.0,88.0
35.5,50.5,77.5,59.5,60.0,51.0,58.0,92.0,101.0,93.5,14.0,84.0
36.0,48.0,78.5,57.0,62.0,48.0,59.0,89.0,102.5,90.5,15.0,81.0
37.0,45.0,79.0,54.5,63.0,46.0,60.0,87.0,103.0,88.0,16.0,78.0
36.5,43.5,79.0,53.0,63.0,44.0,60.0,85.5,103.0,86.0,16.0,77.0
37.0,43.0,79.0,52.0,63.0,44.0,60.0,85.0,104.0,86.0,15.5,76.0
37.0,43.0,79.0,53.0,63.0,44.0,60.0,85.0,104.0,86.0,16.0,76.0
37.0,44.0,79.0,54.0,63.0,45.0,60.0,86.0,104.0,87.0,15.5,77.5
37.0,47.0,80.0,56.0,64.0,47.0,60.0,88.0,105.0,89.5,16.0,80.0
38.5,49.5,81.0,58.5,65.0,49.5,61.5,91.5,105.5,92.0,17.5,83.0
40.0,52.0,82.0,61.5,65.0,52.0,62.5,94.0,106.0,95.5,19.0,86.0
41.0,55.0,83.0,64.0,66.0,55.5,64.0,97.0,108.0,99.0,20.5,88.5
43.0,58.0,85.0,67.0,68.0,58.0,66.0,99.5,110.5,102.0,22.5,91.5
46.0,59.5,88.0,69.0,70.0,60.0,68.5,101.5,113.5,104.5,25.0,93.0
48.5,61.5,90.0,70.0,72.0,62.0,70.5,103.5,117.0,107.0,28.0,95.0
50.0,62.0,92.5,71.5,74.5,63.0,72.5,105.0,118.5,108.5,30.5,95.5
52.0,62.0,94.5,71.5,76.0,63.0,74.5,105.5,122.0,109.0,32.5,95.5
54.0,62.0,96.0,71.0,78.0,63.0,77.0,105.0,124.0,108.0,34.5,95.5
55.0,61.0,97.0,70.0,78.5,62.0,78.0,103.0,125.5,107.5,36.0,94.0
55.0,60.0,98.0,69.0,80.0,60.5,78.0,102.0,126.0,105.5,36.5,92.0
55.0,58.0,98.0,67.5,80.0,59.0,79.0,100.0,126.0,104.0,36.5,90.0
54.5,55.5,96.5,64.5,78.5,56.0,77.0,97.5,124.0,100.5,35.0,88.0
52.5,52.5,94.5,61.5,78.0,54.0,75.0,95.0,121.5,97.5,32.5,85.5
50.0,50.0,92.0,59.0,75.0,51.0,72.5,92.0,118.0,94.0,30.0,83.0
46.0,48.0,88.5,57.5,72.0,49.0,69.0,90.0,113.5,91.5,26.0,81.0
42.0,46.0,85.0,55.0,69.0,46.0,65.0,88.0,109.5,89.5,22.0,79.0
39.0,45.0,81.0,54.0,65.0,45.0,62.0,86.0,105.5,88.0,18.0,78.0
34.0,44.0,77.0,53.0,60.5,44.0,57.5,85.5,101.0,86.0,13.0,77.0
31.0,43.0,74.0,53.0,58.0,43.0,54.0,85.0,97.0,86.0,9.5,76.5
28.0,43.0,72.0,53.0,56.0,43.0,52.0,85.0,95.0,86.0,6.0,77.0
27.0,43.0,70.0,53.0,54.0,44.0,51.0,85.0,93.0,86.0,4.0,77.0
