u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
51.5,61.5,73.0,62.0,95.5,61.5,73.0,83.0,73.0,40.0
51.5,61.5,73.5,61.5,95.5,61.5,73.5,83.5,73.0,40.0
52.0,62.0,73.5,61.5,96.0,61.0,73.5,83.5,73.0,40.0
52.5,61.5,74.0,62.0,97.0,62.0,74.0,83.5,74.0,40.0
53.0,62.0,75.0,62.0,97.0,61.5,74.5,83.5,74.0,40.0
53.0,62.0,75.0,62.0,97.5,61.5,74.5,83.5,74.0,40.0
53.0,61.0,75.5,61.5,97.5,61.5,75.5,83.5,75.0,40.0
53.5,61.5,75.0,61.0,98.0,62.0,75.5,83.5,75.0,40.0
54.0,61.5,75.5,61.5,98.0,62.0,75.5,83.5,75.0,40.0
53.5,61.5,76.0,62.0,99.0,62.0,76.0,84.0,75.0,40.0
54.0,62.0,76.0,62.0,99.0,62.0,76.0,84.0,75.0,40.0
54.0,62.0,76.0,62.0,99.0,62.0,76.0,84.0,75.0,40.0
54.0,62.0,76.0,62.0,99.0,62.0,76.0,84.0,75.0,40.0
54.0,62.0,76.0,62.0,99.0,62.0,76.0,84.0,75.0,40.0
54.0,62.0,76.0,62.0,99.0,62.0,76.0,84.0,75.0,40.0
54.0,62.0,76.0,62.0,99.0,62.0,76.0,84.0,76.0,39.0
54.0,61.5,76.0,62.0,99.0,62.0,76.0,84.0,75.5,39.5
53.5,61.5,76.0,62.0,99.0,62.0,76.0,84.0,75.0,40.0
53.5,61.5,75.5,62.0,98.0,62.0,75.5,83.5,75.0,40.0
53.0,62.0,75.0,62.0,98.0,62.0,75.5,83.5,75.0,40.0
53.0,62.0,75.0,62.0,98.0,62.0,75.0,84.0,74.5,39.5
52.0,62.0,75.0,62.0,97.0,61.0,75.0,84.0,74.0,40.0
51.5,61.5,74.0,62.0,97.0,61.0,74.5,84.0,73.0,40.0
51.5,61.5,74.0,62.0,97.0,61.5,73.5,83.5,73.0,40.0
51.5,61.5,73.5,61.5,96.0,61.0,73.5,83.5,72.5,39.5
50.0,61.5,72.0,61.0,95.5,61.5,72.0,83.0,72.0,39.0
49.5,61.5,71.5,61.5,95.0,61.0,71.5,83.5,71.0,39.0
49.0,62.0,71.0,62.0,93.5,61.5,71.5,83.5,71.0,39.0
48.0,61.5,70.0,61.5,93.0,61.0,70.0,84.0,70.5,39.0
47.5,61.5,70.0,62.0,93.0,61.0,69.5,83.5,69.0,39.0
46.5,61.5,69.5,61.5,92.0,61.0,69.0,84.0,69.0,39.0
46.0,62.0,68.0,61.0,91.5,61.5,68.0,84.0,68.0,39.0
45.5,61.5,67.5,61.5,89.5,61.5,67.5,83.5,67.0,39.0
45.0,61.0,67.0,61.0,89.0,62.0,67.0,83.0,66.5,39.0
43.0,61.0,66.0,61.0,89.0,61.0,66.0,83.5,66.0,39.0
43.0,61.0,65.5,61.5,87.5,61.5,65.5,83.5,65.0,39.0
42.0,61.0,64.0,61.0,87.0,61.0,65.0,84.0,64.0,39.0
41.0,61.0,64.0,61.0,86.0,61.0,63.5,83.5,63.0,39.0
41.0,61.0,63.0,61.0,85.0,61.0,63.0,84.0,62.0,39.5
40.5,61.0,63.0,61.0,85.0,61.0,63.0,83.5,62.0,39.0
39.5,61.5,61.5,61.5,84.0,61.0,61.5,83.5,62.0,39.0
38.5,61.5,61.5,61.5,84.0,61.0,61.5,83.5,61.0,39.0
38.0,61.0,60.5,61.5,83.0,61.0,60.0,83.5,59.5,39.5
37.0,61.0,60.0,61.0,82.0,61.5,59.0,83.5,59.0,40.0
36.0,61.0,59.0,61.5,81.0,61.0,59.0,83.5,58.0,39.5
35.5,61.5,58.0,61.5,80.5,61.0,57.5,83.5,58.0,39.0
35.0,61.0,57.5,61.5,80.0,61.0,57.0,83.0,57.0,39.0
35.0,61.0,57.0,61.0,80.0,61.0,56.5,83.0,56.0,39.0
34.0,61.0,57.0,61.0,79.0,61.0,56.0,83.0,56.0,40.0
34.0,61.0,56.0,61.0,78.5,61.5,56.0,83.0,56.0,40.0
33.0,61.0,56.0,61.0,78.0,61.0,56.0,83.0,55.0,39.0
33.0,61.0,56.0,61.0,78.0,61.0,56.0,83.0,55.0,39.0
