u0,v0,u1,v1,u2,v2,u3,v3,u4,v4
41.0,63.0,63.0,63.0,84.5,62.5,63.0,85.0,62.0,41.5
40.0,63.0,62.5,62.5,84.5,62.5,63.0,85.0,62.0,41.0
40.0,63.0,62.5,62.5,84.5,62.5,62.5,85.0,62.0,41.0
40.0,63.0,62.5,62.5,84.5,62.5,62.5,85.0,62.0,41.0
40.0,63.0,63.0,63.0,84.5,62.5,62.5,85.0,62.0,41.5
40.0,63.0,63.0,63.0,84.5,62.5,62.5,85.0,62.0,41.5
40.5,63.0,63.0,63.0,85.0,63.0,62.5,85.0,62.0,41.0
40.0,63.5,63.0,63.0,85.0,63.0,63.0,85.0,62.0,41.5
40.0,63.5,63.0,63.0,85.0,63.0,63.0,85.0,62.0,41.5
41.0,64.0,63.0,64.0,85.0,64.0,63.0,86.0,62.5,42.5
41.0,64.0,63.0,64.0,85.0,64.0,63.0,86.0,62.0,44.0
40.5,64.5,63.0,64.0,85.0,64.0,62.5,86.5,62.0,44.0
41.0,64.0,63.0,64.0,85.0,64.0,62.5,86.5,62.0,43.0
41.0,65.0,63.0,65.0,85.0,65.0,63.0,87.0,63.0,43.0
42.0,65.0,63.0,65.0,86.0,65.0,63.0,87.0,63.0,43.0
42.0,65.0,64.0,65.0,86.0,65.0,63.0,87.0,63.5,43.0
42.0,65.5,64.0,65.0,87.0,65.5,63.5,87.5,62.0,44.0
