u0,v0,u1,v1,u2,v2,u3,v3,u4,v4,u5,v5
51.0,52.0,94.0,61.0,78.0,52.0,74.0,94.0,121.0,96.0,31.5,85.0
51.0,51.0,94.0,59.5,77.0,52.0,74.5,93.0,121.0,96.0,31.5,84.0
51.0,50.0,94.0,59.0,77.0,51.0,74.0,92.0,121.5,94.5,32.0,83.0
51.0,49.0,94.0,58.0,77.5,50.0,74.0,91.0,121.0,94.0,31.0,82.0
50.5,49.0,93.5,57.5,77.0,49.0,74.0,91.0,120.0,93.0,31.0,82.0
50.5,48.0,93.0,57.0,77.0,48.0,74.0,90.0,120.0,92.0,31.0,81.0
50.0,46.5,93.0,56.0,77.0,48.0,73.0,89.0,120.0,91.0,30.0,80.0
50.0,46.0,92.0,55.0,76.0,47.0,73.0,88.0,119.5,90.5,30.0,80.0
49.5,45.5,92.0,55.0,76.0,46.0,73.0,88.0,119.0,90.0,30.0,79.0
49.0,45.0,91.5,54.0,75.0,46.0,72.0,87.5,118.0,89.0,29.0,78.0
49.0,45.0,91.0,54.0,75.0,46.0,72.0,87.0,117.5,88.5,29.0,78.0
48.0,44.5,91.0,53.0,75.0,45.0,71.0,86.5,117.0,88.0,28.0,77.0
48.0,44.0,90.0,53.0,74.0,45.0,71.0,86.0,117.0,88.0,27.0,77.0
47.0,43.5,90.0,53.0,73.5,44.5,70.0,86.0,115.0,87.0,27.0,77.0
46.0,43.0,89.0,52.0,73.0,44.5,69.5,85.5,115.0,87.0,26.5,76.5
46.0,43.0,89.0,52.0,73.0,44.0,69.5,85.5,114.0,87.0,26.0,76.0
46.0,43.0,88.0,52.0,70.5,44.0,68.5,84.5,113.5,86.5,26.0,76.0
45.0,43.0,88.0,52.0,71.0,44.0,68.0,85.0,113.5,86.5,25.0,76.0
45.0,43.0,87.0,52.0,71.0,44.0,68.0,85.0,113.0,87.0,25.0,76.0
44.0,43.0,87.0,52.0,71.0,44.0,67.5,85.0,112.5,86.5,25.0,76.0
44.0,43.0,87.0,52.0,71.0,43.0,67.0,85.0,112.0,86.0,24.0,76.0
44.0,43.0,86.5,52.5,70.0,43.0,67.0,85.0,112.0,86.0,24.0,76.0
43.0,43.5,86.0,52.5,70.0,44.0,66.0,85.0,111.5,86.0,23.5,76.0
43.0,43.5,86.0,53.0,69.0,44.0,66.0,85.0,111.0,86.0,23.0,76.0
43.0,44.0,86.0,53.0,69.0,44.0,65.5,85.5,111.0,87.0,23.0,76.5
43.0,44.0,86.0,53.0,69.0,44.0,65.5,85.5,111.0,87.0,22.0,77.0
43.0,44.0,86.0,53.0,69.0,44.0,65.0,86.0,111.0,87.0,22.0,77.0
43.0,44.0,85.0,53.0,69.0,45.0,65.5,86.0,110.0,87.0,22.0,77.0
42.0,44.0,85.5,53.5,69.0,45.0,65.5,86.0,110.0,87.0,22.0,77.0
42.0,44.0,85.5,53.5,69.0,45.0,65.0,86.0,110.0,87.0,22.0,77.0
42.0,44.0,85.5,53.5,69.0,46.0,65.0,86.0,110.0,87.0,21.5,77.5
42.5,45.0,85.0,54.0,69.0,46.0,65.5,86.0,111.0,88.0,22.0,77.0
